,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,"It: 0, E: 7.82E-02",,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,"It: 1, E: 2.19E-05",
0,1.000,3.000,1.030,20.200,691.234,99.809,,,1.000,3.000,1.030,20.200,691.287,97.732,,
1,2.000,0.000,1.010,10.855,699.914,27.961,,,2.000,0.000,1.010,10.858,700.000,29.000,,
2,3.000,0.000,1.030,1.184,718.382,133.962,,,3.000,0.000,1.030,1.187,719.000,132.000,,
3,4.000,0.000,1.010,-8.883,700.138,95.077,,,4.000,0.000,1.010,-8.882,700.000,96.200,,
4,5.000,0.000,1.020,13.903,-0.315,-4.039,,,5.000,0.000,1.020,13.905,0.000,0.001,,
5,6.000,0.000,1.012,4.300,0.910,7.822,,,6.000,0.000,1.012,4.301,0.000,0.001,,
6,7.000,0.000,1.021,-3.452,-967.756,-106.831,,,7.000,0.000,1.021,-3.450,-967.000,-99.998,,
7,8.000,0.000,1.010,-11.462,0.634,2.034,,,8.000,0.000,1.010,-11.462,0.000,0.001,,
8,9.000,0.000,1.003,-23.603,-1767.806,-97.457,,,9.000,0.000,1.003,-23.603,-1767.000,-99.999,,
9,10.000,0.000,1.001,-15.512,0.519,0.424,,,10.000,0.000,1.001,-15.512,0.000,0.000,,
10,11.000,0.000,1.015,-5.394,0.423,-4.136,,,11.000,0.000,1.015,-5.395,-0.000,0.001,,
