,Eigenvalue,Freq (Hz),Damping %,G2,G3,G4
0,(-346.7272+0j),0.0,100.0,0.0,0.0,0.0
1,(-346.6798+0j),0.0,100.0,0.0,0.0,0.0
2,(-346.576+0j),0.0,100.0,0.0,0.0,0.0
3,(-93.8423+0j),0.0,100.0,0.0,0.0,0.0
4,(-94.0974+0j),0.0,100.0,0.0,0.0,0.0
5,(-91.4695+0j),0.0,100.0,0.0,0.0,0.0
6,(-1.9125+6.1854j),0.984,29.54,0.02,0.68,1.0
7,(-1.9125-6.1854j),-0.984,29.54,0.02,0.68,1.0
8,(-1.4071+5.1971j),0.827,26.134,1.0,0.05,0.0
9,(-1.4071-5.1971j),-0.827,26.134,1.0,0.05,0.0
10,(-6.8154+0j),0.0,100.0,0.0,0.02,0.01
11,(-6.4349+0j),0.0,100.0,0.04,0.0,0.0
12,(-5.4569+1.8977j),0.302,94.451,0.01,0.0,0.13
13,(-5.4569-1.8977j),-0.302,94.451,0.01,0.0,0.13
14,(-0.5499+2.4549j),0.391,21.857,0.12,1.0,0.89
15,(-0.5499-2.4549j),-0.391,21.857,0.12,1.0,0.89
16,(-2.5802+0j),0.0,100.0,0.15,0.01,0.0
17,(-1.8682+0j),0.0,100.0,0.01,0.04,0.09
18,(-0.1007+0j),0.0,100.0,0.0,0.0,0.01
19,(-0.1004+0j),0.0,100.0,0.0,0.0,0.0
20,(-0.1005+0j),0.0,100.0,0.0,0.0,0.0
21,(-0.01+0j),0.0,100.0,0.0,0.0,0.0
22,(-0.01+0j),0.0,100.0,0.0,0.0,0.0
23,(-0.01+0j),0.0,100.0,0.0,0.0,0.0
